City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,tofol,5.3248,163.0078,29.88,74,75,3.09,FM,1700371117
337,itamaraca,-7.7478,-34.8256,27.03,83,1,3.63,BR,1700371117
338,amos,48.5669,-78.1162,-1.7,90,98,3.37,CA,1700371117
339,miles city,46.4083,-105.8406,4.54,75,0,0.0,US,1700371117
340,hopelchen,19.7667,-89.85,19.8,92,16,0.45,MX,1700371118
341,monterey,36.2505,-121.2516,12.88,89,22,1.99,US,1700371118
342,chancay,-11.5714,-77.2672,18.75,84,100,2.55,PE,1700371067
343,zhalantun,48.0,122.7167,-0.27,73,3,5.59,CN,1700371119
344,cuatro cienegas de carranza,26.9833,-102.0833,19.0,77,9,1.85,MX,1700371119
345,la condamine,43.7344,7.4202,13.82,65,0,5.66,MC,1700371119
346,chui,-33.6971,-53.4616,12.19,56,99,2.71,UY,1700371119
347,guanica,17.9716,-66.908,28.4,71,100,5.06,PR,1700371120
348,villa gesell,-37.2639,-56.973,10.03,59,0,3.9,AR,1700370871
349,keetmanshoop,-26.5833,18.1333,23.66,19,75,3.03,NA,1700371120
350,tual,-5.6667,132.75,28.45,70,39,2.45,ID,1700371120
351,kilinochchi,9.3961,80.3982,26.27,87,99,2.22,LK,1700371121
352,la'ie,21.6477,-157.9253,24.98,72,99,1.75,US,1700371121
353,nova xavantina,-14.6667,-52.35,27.43,53,82,0.71,BR,1700371121
354,inirida,3.8653,-67.9239,25.32,93,98,1.43,CO,1700371122
355,peace river,56.2501,-117.286,3.17,93,75,1.54,CA,1700371122
356,antonio enes,-16.2325,39.9086,28.73,61,27,2.99,MZ,1700371122
357,sucua,-2.4667,-78.1667,19.99,94,70,1.92,EC,1700371122
358,kachug,53.9606,105.8817,0.03,81,100,1.79,RU,1700371122
359,yarmouth,41.7057,-70.2286,5.54,76,0,9.39,US,1700371123
360,champerico,14.3,-91.9167,26.22,83,20,0.79,GT,1700371123
361,guaranda,-1.6,-79.0,11.15,87,64,0.94,EC,1700371124
362,enewetak,11.3474,162.3373,28.24,78,30,6.98,MH,1700371125
